Node_index   Parent_Node_index   Cost
1 0 0
2 1 0
3 1 0
4 1 0
5 1 0
6 2 0
7 2 0
8 3 0
9 3 0
10 4 0
11 4 0
12 5 0
13 5 0
14 6 0
15 7 0
16 8 0
17 9 0
18 10 0
19 11 0
20 12 0
21 13 0
22 14 0
23 14 0
24 15 0
25 15 0
26 16 0
27 16 0
28 17 0
29 17 0
30 18 0
31 18 0
32 19 0
33 19 0
34 20 0
35 20 0
36 21 0
37 21 0
38 22 0
39 23 0
40 23 0
41 23 0
42 24 0
43 25 0
44 25 0
45 25 0
46 26 0
47 27 0
48 27 0
49 27 0
50 28 0
51 29 0
52 29 0
53 29 0
54 30 0
55 30 0
56 30 0
57 31 0
58 32 0
59 32 0
60 32 0
61 33 0
62 34 0
63 34 0
64 34 0
65 35 0
66 36 0
67 36 0
68 36 0
69 37 0
70 38 0
71 38 0
72 39 0
73 39 0
74 40 0
75 40 0
76 41 0
77 41 0
78 42 0
79 42 0
80 43 0
81 43 0
82 44 0
83 44 0
84 45 0
85 45 0
86 46 0
87 46 0
88 47 0
89 47 0
90 48 0
91 48 0
92 49 0
93 49 0
94 50 0
95 50 0
96 51 0
97 51 0
98 52 0
99 52 0
100 53 0
101 53 0
102 54 0
103 54 0
104 55 0
105 55 0
106 56 0
107 56 0
108 57 0
109 57 0
110 58 0
111 58 0
112 59 0
113 59 0
114 60 0
115 60 0
116 61 0
117 61 0
118 62 0
119 62 0
120 63 0
121 63 0
122 64 0
123 64 0
124 65 0
125 65 0
126 66 0
127 66 0
128 67 0
129 67 0
130 68 0
131 68 0
132 69 0
133 69 0
134 70 0
135 70 0
136 70 0
137 71 0
138 73 0
139 74 0
140 75 0
141 76 0
142 77 0
143 78 0
144 78 0
145 78 0
146 79 0
147 80 0
148 82 0
149 83 0
150 84 0
151 85 0
152 86 0
153 86 0
154 86 0
155 87 0
156 88 0
157 89 0
158 91 0
159 92 0
160 93 0
161 94 0
162 94 0
163 94 0
164 95 0
165 96 0
166 97 0
167 98 0
168 100 0
169 101 0
170 102 0
171 103 0
172 105 0
173 106 0
174 107 0
175 108 0
176 109 0
177 109 0
178 109 0
179 110 0
180 111 0
181 112 0
182 114 0
183 115 0
184 116 0
185 117 0
186 117 0
187 117 0
188 118 0
189 119 0
190 120 0
191 121 0
192 123 0
193 124 0
194 125 0
195 125 0
196 125 0
197 126 0
198 127 0
199 128 0
200 129 0
201 130 0
202 132 0
203 133 0
204 133 0
205 133 0
206 134 0
207 134 0
208 135 0
209 135 0
210 136 0
211 136 0
212 137 0
213 137 0
214 138 0
215 138 0
216 139 0
217 139 0
218 140 0
219 140 0
220 141 0
221 141 0
222 142 0
223 142 0
224 143 0
225 143 0
226 144 0
227 144 0
228 145 0
229 145 0
230 146 0
231 146 0
232 147 0
233 147 0
234 148 0
235 148 0
236 149 0
237 149 0
238 150 0
239 150 0
240 151 0
241 151 0
242 152 0
243 152 0
244 153 0
245 153 0
246 154 0
247 154 0
248 155 0
249 155 0
250 156 0
251 156 0
252 157 0
253 157 0
254 158 0
255 158 0
256 159 0
257 159 0
258 160 0
259 160 0
260 161 0
261 161 0
262 162 0
263 162 0
264 163 0
265 163 0
